item,itemLabel,count
http://www.wikidata.org/entity/Q266661,"Улицкая, Людмила Евгеньевна",39
http://www.wikidata.org/entity/Q195390,Александр Беркман,39
http://www.wikidata.org/entity/Q295537,Эдуард Вениаминович Лимонов,39
http://www.wikidata.org/entity/Q18066,Эдуард Успенский,39
http://www.wikidata.org/entity/Q257852,Мария Конопницкая,38
http://www.wikidata.org/entity/Q314312,"Фокин, Михаил Михайлович",38
http://www.wikidata.org/entity/Q316086,Василий Макарович Шукшин,38
http://www.wikidata.org/entity/Q326499,Владимир Иванович Даль,38
http://www.wikidata.org/entity/Q315147,Андрей Платонович Платонов,38
http://www.wikidata.org/entity/Q335495,Исмаил Гаспринский,38
http://www.wikidata.org/entity/Q209684,Джон Филд,38
http://www.wikidata.org/entity/Q287099,Ксения Анатольевна Собчак,38
http://www.wikidata.org/entity/Q295114,"Нимцович, Арон Исаевич",38
http://www.wikidata.org/entity/Q154410,Мария Ундер,38
http://www.wikidata.org/entity/Q158465,Анатолий Тимофеевич Фоменко,38
http://www.wikidata.org/entity/Q497925,Александр Романович Беляев,38
http://www.wikidata.org/entity/Q266127,Даниил Иванович Хармс,37
http://www.wikidata.org/entity/Q360507,Михаил Михайлович Зощенко,37
http://www.wikidata.org/entity/Q380797,Ованес Туманян,37
http://www.wikidata.org/entity/Q326766,Муса Джалиль,37
http://www.wikidata.org/entity/Q311033,Николай Степанович Гумилёв,37
http://www.wikidata.org/entity/Q312467,Виктор Борисович Шкловский,37
http://www.wikidata.org/entity/Q313767,Василий Семёнович Гроссман,37
http://www.wikidata.org/entity/Q116309,Николай Яковлевич Марр,36
http://www.wikidata.org/entity/Q333900,"Крейцвальд, Фридрих",36
http://www.wikidata.org/entity/Q342397,Валентин Петрович Глушко,36
http://www.wikidata.org/entity/Q232391,Наталья Сергеевна Гончарова,36
http://www.wikidata.org/entity/Q446808,Елена Георгиевна Боннэр,36
http://www.wikidata.org/entity/Q237056,"Койдула, Лидия",36
http://www.wikidata.org/entity/Q313618,Отто Вильгельмович Куусинен,36
http://www.wikidata.org/entity/Q466595,"Сёдергран, Эдит",36
http://www.wikidata.org/entity/Q6259288,Юлия Олеговна Самойлова,36
http://www.wikidata.org/entity/Q57399,Маркус Вольф,36
http://www.wikidata.org/entity/Q315185,Василий Павлович Аксёнов,35
http://www.wikidata.org/entity/Q368812,Константин Георгиевич Паустовский,35
http://www.wikidata.org/entity/Q335142,Александр Александрович Богданов,35
http://www.wikidata.org/entity/Q335794,Василь Владимирович Быков,35
http://www.wikidata.org/entity/Q246731,Феодосий Григорьевич Добжанский,35
http://www.wikidata.org/entity/Q55172,Александр Николаевич Сокуров,35
http://www.wikidata.org/entity/Q55195,Всеволод Илларионович Пудовкин,35
http://www.wikidata.org/entity/Q315158,Мирза Фатали Ахундов,34
http://www.wikidata.org/entity/Q319861,Александр Николаевич Бенуа,34
http://www.wikidata.org/entity/Q334665,Александр Сергеевич Яковлев,34
http://www.wikidata.org/entity/Q335006,Сергей Иванович Танеев,34
http://www.wikidata.org/entity/Q311459,Николай Александрович Добролюбов,34
http://www.wikidata.org/entity/Q312627,Станислав Выспяньский,34
http://www.wikidata.org/entity/Q313399,Владимир Александрович Шаталов,34
http://www.wikidata.org/entity/Q168441,Ирина Львовна Немировская,34
http://www.wikidata.org/entity/Q161842,Яан Кросс,34
http://www.wikidata.org/entity/Q4179607,"Жеребцова, Полина Викторовна",34
http://www.wikidata.org/entity/Q12833,Борис Григорьевич Колкер,34
http://www.wikidata.org/entity/Q61940,Зинаида Николаевна Гиппиус,34
http://www.wikidata.org/entity/Q314189,Лев Исаакович Шестов,33
http://www.wikidata.org/entity/Q255253,Мария Константиновна Башкирцева,33
http://www.wikidata.org/entity/Q315188,Сергей Тимофеевич Аксаков,33
http://www.wikidata.org/entity/Q317040,Важа Пшавела,33
http://www.wikidata.org/entity/Q314498,Константин Дмитриевич Бальмонт,33
http://www.wikidata.org/entity/Q320935,Нестор Летописец,33
http://www.wikidata.org/entity/Q326459,Дмитрий Сергеевич Мережковский,33
http://www.wikidata.org/entity/Q364451,Георгий Тимофеевич Береговой,33
http://www.wikidata.org/entity/Q319839,Владимир Георгиевич Сорокин,33
http://www.wikidata.org/entity/Q339581,Алексей Владимирович Баталов,33
http://www.wikidata.org/entity/Q371322,Михаил Сергеевич Грушевский,33
http://www.wikidata.org/entity/Q359568,Владимир Афанасьевич Обручев,33
http://www.wikidata.org/entity/Q432752,Валерий Николаевич Кубасов,33
http://www.wikidata.org/entity/Q353637,Антон Хансен Таммсааре,33
http://www.wikidata.org/entity/Q234765,Надежда Яковлевна Мандельштам,33
http://www.wikidata.org/entity/Q237533,"Эстемирова, Наталья Хусаиновна",33
http://www.wikidata.org/entity/Q234980,"Засулич, Вера Ивановна",33
http://www.wikidata.org/entity/Q4137,Эльза Триоле,33
http://www.wikidata.org/entity/Q319896,Владимир Евгеньевич Жаботинский,32
http://www.wikidata.org/entity/Q283408,Дмитрий Алексеевич Глуховский,32
http://www.wikidata.org/entity/Q336769,Павел Александрович Флоренский,32
http://www.wikidata.org/entity/Q434555,Георгий Михайлович Гречко,32
http://www.wikidata.org/entity/Q240174,"Ожешко, Элиза",32
http://www.wikidata.org/entity/Q529309,Валентин Григорьевич Распутин,32
http://www.wikidata.org/entity/Q2417449,Сильва Капутикян,32
http://www.wikidata.org/entity/Q48053,Кирилл Семёнович Москаленко,32
http://www.wikidata.org/entity/Q314212,Афанасий Афанасьевич Фет,31
http://www.wikidata.org/entity/Q363949,Йонас Басанавичюс,31
http://www.wikidata.org/entity/Q364226,Козьма Сергеевич Петров-Водкин,31
http://www.wikidata.org/entity/Q361311,"Расулзаде, Мамед Эмин",31
http://www.wikidata.org/entity/Q181573,Фазиль Абдулович Искандер,31
http://www.wikidata.org/entity/Q333222,Всеволод Михайлович Гаршин,31
http://www.wikidata.org/entity/Q333873,Валентин Петрович Катаев,31
http://www.wikidata.org/entity/Q130786,Виктор Суворов,31
http://www.wikidata.org/entity/Q335110,Геннадий Николаевич Айги,31
http://www.wikidata.org/entity/Q435584,Самуил Яковлевич Маршак,31
http://www.wikidata.org/entity/Q508929,Николай Сергеевич Валуев,31
http://www.wikidata.org/entity/Q12850258,Анвар Чингизоглу,31
http://www.wikidata.org/entity/Q4864,"Касперский, Евгений Валентинович",31
http://www.wikidata.org/entity/Q314921,Владимир Васильевич Ковалёнок,30
http://www.wikidata.org/entity/Q379612,Акакий Ростомович Церетели,30
http://www.wikidata.org/entity/Q381859,"Савинков, Борис Викторович",30
http://www.wikidata.org/entity/Q345658,Владислав Николаевич Волков,30
http://www.wikidata.org/entity/Q348001,Райнис,30
http://www.wikidata.org/entity/Q169613,"Ситчин, Захария",30
http://www.wikidata.org/entity/Q362828,Александр Трифонович Твардовский,29
http://www.wikidata.org/entity/Q361318,Вячеслав Иванович Иванов,29
http://www.wikidata.org/entity/Q318470,"Арсеньев, Владимир Клавдиевич",29
http://www.wikidata.org/entity/Q202537,Аркадий Петрович Гайдар,29
http://www.wikidata.org/entity/Q344854,Тимур Бекмамбетов,29
http://www.wikidata.org/entity/Q293156,Людмила Михайловна Алексеева,29
http://www.wikidata.org/entity/Q434266,Пётр Демьянович Успенский,29
http://www.wikidata.org/entity/Q435766,Фёдор Петрович Литке,29
http://www.wikidata.org/entity/Q458209,"Жадан, Сергей Викторович",29
http://www.wikidata.org/entity/Q234795,Алла Назимова,29
http://www.wikidata.org/entity/Q465748,Алексей Александрович Губарев,29
http://www.wikidata.org/entity/Q471207,Максим Адамович Богданович,29
http://www.wikidata.org/entity/Q558794,Садриддин Айни,29
http://www.wikidata.org/entity/Q784509,Юрий Васильевич Яковлев,29
http://www.wikidata.org/entity/Q57802,"Фишер фон Вальдгейм, Григорий Иванович",29
http://www.wikidata.org/entity/Q254988,Аветик Исаакян,28
http://www.wikidata.org/entity/Q262850,Вера Фёдоровна Панова,28
http://www.wikidata.org/entity/Q380214,"Макин, Андрей",28
http://www.wikidata.org/entity/Q332699,"Коцоев, Арсен Борисович",28
http://www.wikidata.org/entity/Q327015,Антон Антонович Дельвиг,28
http://www.wikidata.org/entity/Q359563,Юстинас Марцинкявичюс,28
http://www.wikidata.org/entity/Q359705,Хаим Нахман Бялик,28
http://www.wikidata.org/entity/Q434546,"Климук, Пётр Ильич",28
http://www.wikidata.org/entity/Q245355,Зыгмунт Красинский,28
http://www.wikidata.org/entity/Q473580,Сергей Безруков,28
http://www.wikidata.org/entity/Q488043,Анатолий Васильевич Филипченко,28
http://www.wikidata.org/entity/Q560238,Николай Мелитонович Бараташвили,28
http://www.wikidata.org/entity/Q541213,Ирина Муцуовна Хакамада,28
http://www.wikidata.org/entity/Q777997,Арсений Александрович Тарковский,28
http://www.wikidata.org/entity/Q35448,Пётр Николаевич Краснов,28
http://www.wikidata.org/entity/Q54828,Иван Антонович Ефремов,28
http://www.wikidata.org/entity/Q362133,Василий Борисович Ливанов,27
http://www.wikidata.org/entity/Q362138,"Яннсен, Йохан Вольдемар",27
http://www.wikidata.org/entity/Q366503,Венедикт Ерофеев,27
http://www.wikidata.org/entity/Q360471,Владимир Константинович Буковский,27
http://www.wikidata.org/entity/Q342889,Адам Ежи Чарторыйский,27
http://www.wikidata.org/entity/Q382145,Владимир Александрович Крючков,27
http://www.wikidata.org/entity/Q359047,Бернард Беренсон,27
http://www.wikidata.org/entity/Q429915,Александр Петрович Сумароков,27
http://www.wikidata.org/entity/Q455246,Иван Петрович Котляревский,27
http://www.wikidata.org/entity/Q311928,Иларион,27
http://www.wikidata.org/entity/Q454630,Владимир Николаевич Войнович,27
http://www.wikidata.org/entity/Q471664,Леонид Максимович Леонов,27
http://www.wikidata.org/entity/Q508975,"Короткевич, Владимир Семёнович",27
http://www.wikidata.org/entity/Q313832,Константин Константинович,26
http://www.wikidata.org/entity/Q254524,Юзеф Игнацы Крашевский,26
http://www.wikidata.org/entity/Q257872,Аспазия,26
http://www.wikidata.org/entity/Q362009,"Кибальчич, Виктор Львович",26
http://www.wikidata.org/entity/Q317890,"Флор, Саломон Михайлович",26
http://www.wikidata.org/entity/Q271934,Софья Андреевна Толстая,26
http://www.wikidata.org/entity/Q364252,Евгений Абрамович Баратынский,26
http://www.wikidata.org/entity/Q368956,Коста Хетагуров,26
http://www.wikidata.org/entity/Q380728,Фёдор Сологуб,26
http://www.wikidata.org/entity/Q275935,Нина Николаевна Берберова,26
http://www.wikidata.org/entity/Q370815,Сергей Георгиевич Горшков,26
http://www.wikidata.org/entity/Q127688,"Снелльман, Йохан Вильгельм",26
http://www.wikidata.org/entity/Q120664,Николай Яковлевич Данилевский,26
http://www.wikidata.org/entity/Q359694,"Мойхер-Сфорим, Менделе",26
http://www.wikidata.org/entity/Q381541,Алексей Станиславович Елисеев,26
http://www.wikidata.org/entity/Q431006,Виктор Петрович Савиных,26
http://www.wikidata.org/entity/Q358497,Алексей Степанович Хомяков,26
http://www.wikidata.org/entity/Q358885,Максимилиан Александрович Волошин,26
http://www.wikidata.org/entity/Q350857,Христиан Георгиевич Раковский,26
http://www.wikidata.org/entity/Q439566,Демьян Бедный,26
http://www.wikidata.org/entity/Q463412,Владимир Натанович Гельфанд,26
http://www.wikidata.org/entity/Q2004200,"Ситдыкова, Гузаль Рамазановна",26
http://www.wikidata.org/entity/Q235611,Екатерина Романовна Дашкова,26
http://www.wikidata.org/entity/Q467482,"Каплинский, Яан",26
http://www.wikidata.org/entity/Q557348,Мухтар Омарханович Ауэзов,26
http://www.wikidata.org/entity/Q610532,Давид Давидович Бурлюк,26
http://www.wikidata.org/entity/Q700323,Михаил Михайлович Пришвин,26
http://www.wikidata.org/entity/Q713943,Иван Дмитриевич Папанин,26
http://www.wikidata.org/entity/Q734901,"Серафимович, Александр Серафимович",26
http://www.wikidata.org/entity/Q968184,Виктор Петрович Астафьев,26
http://www.wikidata.org/entity/Q1530559,Захар Прилепин,26
http://www.wikidata.org/entity/Q1650282,Гарегин Нжде,26
http://www.wikidata.org/entity/Q48102,Матвей Васильевич Захаров,26
http://www.wikidata.org/entity/Q51094,Юрий Юлианович Шевчук,26
http://www.wikidata.org/entity/Q255500,Дин Лин,25
http://www.wikidata.org/entity/Q268994,Маргарита Иосифовна Алигер,25
http://www.wikidata.org/entity/Q183382,Людмила Стефановна Петрушевская,25
http://www.wikidata.org/entity/Q367109,Ян Потоцкий,25
http://www.wikidata.org/entity/Q270336,Надежда Андреевна Дурова,25
http://www.wikidata.org/entity/Q380000,"Олеша, Юрий Карлович",25
http://www.wikidata.org/entity/Q380424,Игорь Зиновьевич Павлюк,25
http://www.wikidata.org/entity/Q182156,Павел Петрович Бажов,25
http://www.wikidata.org/entity/Q274302,"Костенко, Лина Васильевна",25
http://www.wikidata.org/entity/Q447367,Нодар Владимирович Думбадзе,25
http://www.wikidata.org/entity/Q448143,Михаил Петрович Арцыбашев,25
http://www.wikidata.org/entity/Q360420,Серж Лифарь,25
http://www.wikidata.org/entity/Q236233,Александра Маринина,25
http://www.wikidata.org/entity/Q452371,Юрий Игоревич Андрухович,25
http://www.wikidata.org/entity/Q237518,Ольга Фёдоровна Берггольц,25
http://www.wikidata.org/entity/Q463501,Валерия Ильинична Новодворская,25
http://www.wikidata.org/entity/Q505031,Сергей Михайлович Соловьёв,25
http://www.wikidata.org/entity/Q526060,Вилис Тенисович Лацис,25
http://www.wikidata.org/entity/Q535157,Валентин Витальевич Лебедев,25
http://www.wikidata.org/entity/Q580048,Борис Полевой,25
http://www.wikidata.org/entity/Q542101,Борис Борисович Гребенщиков,25
http://www.wikidata.org/entity/Q553307,"Петерсон, Кристьян Яак",25
http://www.wikidata.org/entity/Q4275564,Мукагали Макатаев,25
http://www.wikidata.org/entity/Q683485,Агния Львовна Барто,25
http://www.wikidata.org/entity/Q1226580,Динмухамед Ахмедович Кунаев,25
http://www.wikidata.org/entity/Q983507,Самед Вургун,25
http://www.wikidata.org/entity/Q1377569,Григорий Николаевич Потанин,25
http://www.wikidata.org/entity/Q1485988,Михаил Саввич Джавахишвили,25
http://www.wikidata.org/entity/Q45124,Хамза Хакимзаде Ниязи,25
http://www.wikidata.org/entity/Q260537,Лиля Юрьевна Брик,24
http://www.wikidata.org/entity/Q360961,Натан Щаранский,24
http://www.wikidata.org/entity/Q270460,Ольга Владимировна Розанова,24
http://www.wikidata.org/entity/Q116789,Борис Дмитриевич Парыгин,24
http://www.wikidata.org/entity/Q372115,Антиох Дмитриевич Кантемир,24
http://www.wikidata.org/entity/Q374362,Николай Платонович Огарёв,24
http://www.wikidata.org/entity/Q298125,Визма Белшевица,24
http://www.wikidata.org/entity/Q218319,Зофья Налковская,24
http://www.wikidata.org/entity/Q360292,Кир Булычёв,24
http://www.wikidata.org/entity/Q430883,Сергей Геннадиевич Нечаев,24
http://www.wikidata.org/entity/Q455182,Изабелла Чарторыйская,24
http://www.wikidata.org/entity/Q460052,Михаил Тариэлович Лорис-Меликов,24
http://www.wikidata.org/entity/Q242834,Евгения Соломоновна Гинзбург,24
http://www.wikidata.org/entity/Q467741,Вениамин Александрович Каверин,24
http://www.wikidata.org/entity/Q464192,Владимир Васильевич Стасов,24
http://www.wikidata.org/entity/Q470371,Алексей Феофилактович Писемский,24
http://www.wikidata.org/entity/Q507381,Дмитрий Андреевич Фурманов,24
http://www.wikidata.org/entity/Q502651,"Мягков, Андрей Васильевич",24
http://www.wikidata.org/entity/Q2227698,Андрей Вадимович Макаревич,24
http://www.wikidata.org/entity/Q653320,Николай Николаевич Носов,24
http://www.wikidata.org/entity/Q4086534,Зайнаб Абдулловна Биишева,24
http://www.wikidata.org/entity/Q704015,Константин Александрович Федин,24
http://www.wikidata.org/entity/Q712412,Дмитрий Сергеевич Лихачёв,24
http://www.wikidata.org/entity/Q724323,Юлиан Семёнов,24
http://www.wikidata.org/entity/Q735399,Юсуф Хасанович Акчурин,24
http://www.wikidata.org/entity/Q737486,Тыну Ыннепалу,24
http://www.wikidata.org/entity/Q983226,Отар Чиладзе,24
http://www.wikidata.org/entity/Q48037,Пётр Кириллович Кошевой,24
http://www.wikidata.org/entity/Q256354,"Инбер, Вера Михайловна",23
http://www.wikidata.org/entity/Q268111,Евгений Львович Шварц,23
http://www.wikidata.org/entity/Q368455,Юрий Николаевич Тынянов,23
http://www.wikidata.org/entity/Q266783,Вера Николаевна Фигнер,23
http://www.wikidata.org/entity/Q370069,Юзеф Выбицкий,23
http://www.wikidata.org/entity/Q377725,Пётр Бернгардович Струве,23
http://www.wikidata.org/entity/Q380506,"Фредро, Александр",23
http://www.wikidata.org/entity/Q283859,Эдвард Станиславович Радзинский,23
http://www.wikidata.org/entity/Q399969,Аарон Аппельфельд,23
http://www.wikidata.org/entity/Q350095,Александр Ильич Родимцев,23
http://www.wikidata.org/entity/Q446531,Александр Сергеевич Иванченков,23
http://www.wikidata.org/entity/Q449538,Александр Александрович Зиновьев,23
