item,itemLabel,dplace,dplaceLabel,dgeo,dmanner,dmannerLabel,dcause,dcauseLabel,burial,burialLabel,burialgeo
http://www.wikidata.org/entity/Q15700072,"Сальковский, Вилен Абрамович",http://www.wikidata.org/entity/Q2337,Смоленск,Point(32.045277777 54.782777777),,,,,,,
http://www.wikidata.org/entity/Q15686360,"Баимов, Бурзян Сафич",http://www.wikidata.org/entity/Q911,Уфа,Point(55.9475 54.726111111),,,,,,,
http://www.wikidata.org/entity/Q15699381,"Гибадуллин, Миннитагир Гибадуллинович",http://www.wikidata.org/entity/Q1094419,Кигинский район,Point(58.60416667 55.40527778),,,,,,,
http://www.wikidata.org/entity/Q15707240,Георгий Петрович Блок,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15699729,Иезикиил Левит,http://www.wikidata.org/entity/Q18419,Бруклин,Point(-73.990277777 40.692777777),,,,,,,
http://www.wikidata.org/entity/Q15686475,"Шубин, Лев Алексеевич",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15686326,"Макэ, Хусэ",http://www.wikidata.org/entity/Q15180,СССР,Point(90.0 65.0),,,,,,,
http://www.wikidata.org/entity/Q15686440,"Ермаков, Валентин Михайлович",http://www.wikidata.org/entity/Q175651,Обнинск,Point(36.616666666 55.1),,,,,,,
http://www.wikidata.org/entity/Q15686407,"Письменный, Михаил Андреевич",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15699746,"Ловецкий, Павел Феодосеевич",http://www.wikidata.org/entity/Q33349,Мелитополь,Point(35.366666666 46.833333333),,,,,,,
http://www.wikidata.org/entity/Q15699375,"Гераклитов, Александр Александрович",http://www.wikidata.org/entity/Q5332,Саратов,Point(46.0 51.533333333),,,,,,,
http://www.wikidata.org/entity/Q15699421,Нина Леонидовна Дарузес,http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15706501,"Шмидт, Борис Андреевич",http://www.wikidata.org/entity/Q1895,Петрозаводск,Point(34.35 61.783333333),,,,,,,
http://www.wikidata.org/entity/Q15699499,"Залесский, Николай Александрович",http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15686446,"Имангулов, Сулпан Гуссамович",http://www.wikidata.org/entity/Q158798,Мелеуз,Point(55.93277 52.96467),,,,,,,
http://www.wikidata.org/entity/Q15686503,"Баженова, Таисия Анатольевна",http://www.wikidata.org/entity/Q62,Сан-Франциско,Point(-122.416388888 37.7775),,,,,,,
http://www.wikidata.org/entity/Q15686478,"Ванюшкина, Виктория Владимировна",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15699928,"Пассар, Андрей Александрович",http://www.wikidata.org/entity/Q4454,Хабаровск,Point(135.066666666 48.483333333),,,,,,,
http://www.wikidata.org/entity/Q15706494,"Шапошникова, Софья Сауловна",http://www.wikidata.org/entity/Q41843,Беэр-Шева,Point(34.797777777 31.258888888),,,,,,,
http://www.wikidata.org/entity/Q15971495,Q15971495,http://www.wikidata.org/entity/Q782264,Сартана,Point(37.683333333 47.166666666),,,,,,,
http://www.wikidata.org/entity/Q15720390,Иван Петрович Разсадин,http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15918960,"Хиждеу, Болеслав Фаддеевич",http://www.wikidata.org/entity/Q1741,Вена,Point(16.373064 48.20833),,,,,,,
http://www.wikidata.org/entity/Q15900889,"Осипенко, Александр Харитонович",http://www.wikidata.org/entity/Q2280,Минск,Point(27.561837 53.902246),,,,,,,
http://www.wikidata.org/entity/Q15722824,Пётр Андреевич Апакаев,http://www.wikidata.org/entity/Q5449,Йошкар-Ола,Point(47.895833333 56.632777777),,,,,,,
http://www.wikidata.org/entity/Q15720396,"Рудич, Вера Ивановна",http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720398,Ростислав Иванович Сементковский,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720415,Владимир Алексеевич Тихонов,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15965779,"Чимитов, Гунга Гомбоевич",http://www.wikidata.org/entity/Q6816,Улан-Удэ,Point(107.606388888 51.827222222),,,,,,,
http://www.wikidata.org/entity/Q15720448,Юлий Осипович Шрейер,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720352,Алексей Николаевич Мошин,http://www.wikidata.org/entity/Q175209,Новоржев,Point(29.333333333 57.033333333),,,,,,,
http://www.wikidata.org/entity/Q15720417,Андрей Иванович Тургенев,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720371,Дмитрий Константинович Петров,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720414,Игорь Иванович Тарабукин,http://www.wikidata.org/entity/Q887,Екатеринбург,Point(60.612777777 56.835555555),,,,,,,
http://www.wikidata.org/entity/Q15720416,Феликс Густавович Толль,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15723879,"Айзенворт, Анатолий",http://www.wikidata.org/entity/Q3819,Волгоградская область,Point(44.116666666 49.733333333),,,,,,,
http://www.wikidata.org/entity/Q16172922,"Григурко, Иван Сергеевич",http://www.wikidata.org/entity/Q41572,Николаев,Point(32.0 46.966666666),,,,,,,
http://www.wikidata.org/entity/Q15980110,Сильвио Брёдрих,http://www.wikidata.org/entity/Q490445,Ойтин,Point(10.618055555 54.137777777),,,,,,,
http://www.wikidata.org/entity/Q16273031,"Базанков, Михаил Фёдорович",http://www.wikidata.org/entity/Q2592,Кострома,Point(40.933333333 57.766666666),,,,,,,
http://www.wikidata.org/entity/Q16160065,"Альтман, Пейся Израилевич",http://www.wikidata.org/entity/Q4441995,Степанцы,Point(31.3 49.708333333),,,,,,,
http://www.wikidata.org/entity/Q15720426,Михаил Авраамович Филиппов,http://www.wikidata.org/entity/Q1773,Рига,Point(24.106944444 56.9475),,,,,,,
http://www.wikidata.org/entity/Q16163545,"Белинский, Иван Григорьевич",http://www.wikidata.org/entity/Q1035632,Рогатинский район,Point(24.6383 49.38),,,,,,,
http://www.wikidata.org/entity/Q15965988,Евгения Степановна Лещук,http://www.wikidata.org/entity/Q36036,Львов,Point(24.0315 49.841888888),,,,,,,
http://www.wikidata.org/entity/Q16116357,Q16116357,http://www.wikidata.org/entity/Q849234,Брцковляни,Point(16.3 45.83),,,,,,,
