item,itemLabel,count
http://www.wikidata.org/entity/Q35733,Велимир Хлебников,3
http://www.wikidata.org/entity/Q15001,Александр Сергеевич Грибоедов,3
http://www.wikidata.org/entity/Q18809,Анатолий Васильевич Луначарский,3
http://www.wikidata.org/entity/Q47900,Нестор Иванович Махно,3
http://www.wikidata.org/entity/Q61940,Зинаида Николаевна Гиппиус,3
http://www.wikidata.org/entity/Q171242,Глеб Иванович Успенский,2
http://www.wikidata.org/entity/Q313832,Константин Константинович,2
http://www.wikidata.org/entity/Q326499,Владимир Иванович Даль,2
http://www.wikidata.org/entity/Q326766,Муса Джалиль,2
http://www.wikidata.org/entity/Q327015,Антон Антонович Дельвиг,2
http://www.wikidata.org/entity/Q267137,"Кобылянская, Ольга Юлиановна",2
http://www.wikidata.org/entity/Q182905,Георгий Валентинович Плеханов,2
http://www.wikidata.org/entity/Q319896,Владимир Евгеньевич Жаботинский,2
http://www.wikidata.org/entity/Q81445,Салават Юлаев,2
http://www.wikidata.org/entity/Q254988,Аветик Исаакян,2
http://www.wikidata.org/entity/Q255253,Мария Константиновна Башкирцева,2
http://www.wikidata.org/entity/Q315885,Денис Иванович Фонвизин,2
http://www.wikidata.org/entity/Q361318,Вячеслав Иванович Иванов,2
http://www.wikidata.org/entity/Q315147,Андрей Платонович Платонов,2
http://www.wikidata.org/entity/Q179558,Александра Михайловна Коллонтай,2
http://www.wikidata.org/entity/Q371322,Михаил Сергеевич Грушевский,2
http://www.wikidata.org/entity/Q362138,"Яннсен, Йохан Вольдемар",2
http://www.wikidata.org/entity/Q319861,Александр Николаевич Бенуа,2
http://www.wikidata.org/entity/Q192331,Николай Гаврилович Чернышевский,2
http://www.wikidata.org/entity/Q271853,Николай Алексеевич Островский,2
http://www.wikidata.org/entity/Q271934,Софья Андреевна Толстая,2
http://www.wikidata.org/entity/Q380425,Ахад-ха-Ам,2
http://www.wikidata.org/entity/Q372115,Антиох Дмитриевич Кантемир,2
http://www.wikidata.org/entity/Q374362,Николай Платонович Огарёв,2
http://www.wikidata.org/entity/Q195390,Александр Беркман,2
http://www.wikidata.org/entity/Q358885,Максимилиан Александрович Волошин,2
http://www.wikidata.org/entity/Q359047,Бернард Беренсон,2
http://www.wikidata.org/entity/Q128832,Александр Александрович Бестужев,2
http://www.wikidata.org/entity/Q379612,Акакий Ростомович Церетели,2
http://www.wikidata.org/entity/Q297448,Антон Семёнович Макаренко,2
http://www.wikidata.org/entity/Q342889,Адам Ежи Чарторыйский,2
http://www.wikidata.org/entity/Q440996,Мариэтта Сергеевна Шагинян,2
http://www.wikidata.org/entity/Q348001,Райнис,2
http://www.wikidata.org/entity/Q311459,Николай Александрович Добролюбов,2
http://www.wikidata.org/entity/Q434266,Пётр Демьянович Успенский,2
http://www.wikidata.org/entity/Q350857,Христиан Георгиевич Раковский,2
http://www.wikidata.org/entity/Q353637,Антон Хансен Таммсааре,2
http://www.wikidata.org/entity/Q212632,Андрей Белый,2
http://www.wikidata.org/entity/Q213997,Александр Грин,2
http://www.wikidata.org/entity/Q211551,Николай Александрович Морозов,2
http://www.wikidata.org/entity/Q152441,Януш Корчак,2
http://www.wikidata.org/entity/Q304890,Абай Кунанбаев,2
http://www.wikidata.org/entity/Q152738,Анастас Иванович Микоян,2
http://www.wikidata.org/entity/Q1970722,Даниил Лукич Мордовцев,2
http://www.wikidata.org/entity/Q215637,Надежда Константиновна Крупская,2
http://www.wikidata.org/entity/Q313461,Хачатур Аветикович Абовян,2
http://www.wikidata.org/entity/Q460352,Михаил Алексеевич Кузмин,2
http://www.wikidata.org/entity/Q1995066,"Бакиханов, Аббас Кули Ага",2
http://www.wikidata.org/entity/Q445845,"Жмиховская, Габриелла Нарциза",2
http://www.wikidata.org/entity/Q1979936,Дживани,2
http://www.wikidata.org/entity/Q4056993,Николай Яковлевич Агнивцев,2
http://www.wikidata.org/entity/Q453447,Эль-Регистан,2
http://www.wikidata.org/entity/Q1973605,Георгий Иванович Чулков,2
http://www.wikidata.org/entity/Q241252,Алексей Фёдорович Львов,2
http://www.wikidata.org/entity/Q4054196,"Абаев, Иван Мациевич",2
http://www.wikidata.org/entity/Q1977210,Василий Иванович Немирович-Данченко,2
http://www.wikidata.org/entity/Q4055616,Василий Петрович Авенариус,2
http://www.wikidata.org/entity/Q2064962,Павел Иванович Мельников-Печерский,2
http://www.wikidata.org/entity/Q2066250,"Кивикас, Альберт",2
http://www.wikidata.org/entity/Q2066821,Алексей Сергеевич Суворин,2
http://www.wikidata.org/entity/Q475004,Дмитрий Фёдорович Жилунович,2
http://www.wikidata.org/entity/Q483709,Якуб Колас,2
http://www.wikidata.org/entity/Q4130456,"Вяткин, Георгий Андреевич",2
http://www.wikidata.org/entity/Q466595,"Сёдергран, Эдит",2
http://www.wikidata.org/entity/Q2093961,"Янковский, Чеслав Карлович",2
http://www.wikidata.org/entity/Q2078351,"Свенцицкий, Паулин",2
http://www.wikidata.org/entity/Q4065729,Сергей Аркадьевич Андреевский,2
http://www.wikidata.org/entity/Q2035134,Александр Сергеевич Неверов,2
http://www.wikidata.org/entity/Q467630,Иван Сергеевич Аксаков,2
http://www.wikidata.org/entity/Q4063219,"Алчевская, Христина Алексеевна",2
http://www.wikidata.org/entity/Q497925,Александр Романович Беляев,2
http://www.wikidata.org/entity/Q4058872,"Айкуни, Гурген Саркисович",2
http://www.wikidata.org/entity/Q471443,Илья Арнольдович Ильф,2
http://www.wikidata.org/entity/Q471664,Леонид Максимович Леонов,2
http://www.wikidata.org/entity/Q2072175,Сергей Митрофанович Городецкий,2
http://www.wikidata.org/entity/Q2072231,Джамбул Джабаев,2
http://www.wikidata.org/entity/Q2042695,Павел Арсеньевич Грабовский,2
http://www.wikidata.org/entity/Q2059452,Андрей Николаевич Муравьёв,2
http://www.wikidata.org/entity/Q2361164,Константин Михайлович Станюкович,2
http://www.wikidata.org/entity/Q471718,Константин Николаевич Батюшков,2
http://www.wikidata.org/entity/Q521170,Владимир Алексеевич Гиляровский,2
http://www.wikidata.org/entity/Q521410,Шаул Черниховский,2
http://www.wikidata.org/entity/Q4203757,"Исбах, Александр Абрамович",2
http://www.wikidata.org/entity/Q2075699,Иван Яковлевич Павловский,2
http://www.wikidata.org/entity/Q4141439,Арсений Аркадьевич Голенищев-Кутузов,2
http://www.wikidata.org/entity/Q2369851,"Таубин, Юлий Абрамович",2
http://www.wikidata.org/entity/Q536372,"Пильняк, Борис Андреевич",2
http://www.wikidata.org/entity/Q4151323,Эдуард Иванович Губер,2
http://www.wikidata.org/entity/Q4072674,Александр Степанович Афанасьев-Чужбинский,2
http://www.wikidata.org/entity/Q559531,"Перельман, Яков Исидорович",2
http://www.wikidata.org/entity/Q553718,"Шмелёв, Иван Сергеевич",2
http://www.wikidata.org/entity/Q554746,Дмитрий Васильевич Григорович,2
http://www.wikidata.org/entity/Q4226775,Павел Алексеевич Козлов,2
http://www.wikidata.org/entity/Q4233788,"Королив, Василий Константинович",2
http://www.wikidata.org/entity/Q2414900,Игнацы Ходзько,2
http://www.wikidata.org/entity/Q2378000,"Брешко-Брешковский, Николай Николаевич",2
http://www.wikidata.org/entity/Q2378046,Юргис Казимирович Балтрушайтис,2
http://www.wikidata.org/entity/Q570952,Антанас Баранаускас,2
http://www.wikidata.org/entity/Q597298,"Одынец, Антоний Эдвард",2
http://www.wikidata.org/entity/Q597727,"Мальчевский, Антоний",2
http://www.wikidata.org/entity/Q4086689,Виктор Викторович Билибин,2
http://www.wikidata.org/entity/Q2421158,Марко Вовчок,2
http://www.wikidata.org/entity/Q2425322,Степан Гаврилович Скиталец,2
http://www.wikidata.org/entity/Q582704,"Рыдель, Люцьян",2
http://www.wikidata.org/entity/Q4080131,"Башкин, Василий Васильевич",2
http://www.wikidata.org/entity/Q2503538,"Абашели, Александр Виссарионович",2
http://www.wikidata.org/entity/Q2506401,"Махайский, Ян-Вацлав Константинович",2
http://www.wikidata.org/entity/Q2494143,Владимир Кириллович Винниченко,2
http://www.wikidata.org/entity/Q4237515,Паулина Петронела Кракув,2
http://www.wikidata.org/entity/Q4168392,"Дрожжин, Спиридон Дмитриевич",2
http://www.wikidata.org/entity/Q665344,Дмитрий Владимирович Веневитинов,2
http://www.wikidata.org/entity/Q2583170,Ахмед Джавад,2
http://www.wikidata.org/entity/Q645491,Евгений Павлович Гребёнка,2
http://www.wikidata.org/entity/Q2500903,"Горецкий, Максим Иванович",2
http://www.wikidata.org/entity/Q2468579,Михаил Ларионович Михайлов,2
http://www.wikidata.org/entity/Q669733,Шарль Раппопорт,2
http://www.wikidata.org/entity/Q677282,"Абгарович, Каетан",2
http://www.wikidata.org/entity/Q2528539,"Решетников, Фёдор Михайлович",2
http://www.wikidata.org/entity/Q2608229,Иван Иванович Хемницер,2
http://www.wikidata.org/entity/Q2610362,Раффи,2
http://www.wikidata.org/entity/Q2590303,Янка Лучина,2
http://www.wikidata.org/entity/Q650909,Евгений Николаевич Чириков,2
http://www.wikidata.org/entity/Q2621545,Александр Иванович Полежаев,2
http://www.wikidata.org/entity/Q4175114,"Елпатьевский, Сергей Яковлевич",2
http://www.wikidata.org/entity/Q4177853,Юлия Валериановна Жадовская,2
http://www.wikidata.org/entity/Q714397,Николай Алексеевич Клюев,2
http://www.wikidata.org/entity/Q714739,Евгений Петрович Петров,2
http://www.wikidata.org/entity/Q715195,Всеволод Михайлович Волин,2
http://www.wikidata.org/entity/Q707569,Игорь Северянин,2
http://www.wikidata.org/entity/Q2563175,Фома Падура,2
